year,season,state,district,crop,crop_category,crop_type,unit,sum_insured,premium_rate,farmer_share_pct,state_share_pct,goi_share_pct,farmer_share_value,state_share_value,goi_share_value,indemnity_level,insurance_company,total_subsidy,total_premium,gov_subsidy_pct,premium_to_insured_pct
2021,Kharif,Goa,North Goa,Pulses,Pulses,Agriculture,1,37500.0,2.0,2.0,0.0,0.0,750.0,0.0,0.0,80,FUTURE GENERALI INDIA INSURANCE CO. LTD.,0.0,750.0,0.0,2.0
2021,Kharif,Goa,North Goa,Groundnut (Pea Nut),Oilseeds,Agriculture,1,47500.0,2.0,2.0,0.0,0.0,950.0,0.0,0.0,80,FUTURE GENERALI INDIA INSURANCE CO. LTD.,0.0,950.0,0.0,2.0
2022,Kharif,HARYANA,Fatehabad,Cotton (Kapas),Fiber Crops,Horticulture & Commercial,1,89903.0,12.0,5.0,3.5,3.5,4495.15,3146.605,3146.605,90,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,6293.21,10788.359999999999,58.333333333333336,11.999999999999998
2018,Kharif,Haryana,Sonipat,Maize (Makka),Millets,Agriculture,1,41500.0,7.0,2.0,2.5,2.5,830.0,1037.5,1037.5,90,SBI GENERAL INSURANCE,2075.0,2905.0,71.42857142857143,7.000000000000001
2018,Kharif,Haryana,Panchkula,Cotton (Kapas),Fiber Crops,Horticulture & Commercial,1,72000.0,12.9914,2.0,6.9957,3.9957,1440.0,5036.904,2876.904,90,ORIENTAL INSURANCE,7913.808000000001,9353.808,84.60520036331727,12.9914
2018,Kharif,Haryana,Panchkula,Paddy (Dhan),Cereals,Agriculture,1,73500.0,14.9346,2.0,6.4673,6.4673,1470.0,4753.4655,4753.4655,90,ORIENTAL INSURANCE,9506.931,10976.931,86.60827876206929,14.934600000000001
2018,Rabi,Chhattisgarh,Bemetara,Linseed (Alsi),Oilseeds,Agriculture,1,11200.0,5.0,1.5,1.75,1.75,168.0,196.0,196.0,80,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,392.0,560.0,70.0,5.0
2018,Kharif,Haryana,Sonipat,Pearl Millet (Bajra),Millets,Agriculture,1,36000.0,5.0,2.0,1.5,1.5,720.0,540.0,540.0,90,SBI GENERAL INSURANCE,1080.0,1800.0,60.0,5.0
2022,Kharif,HARYANA,Fatehabad,Maize (Makka),Millets,Agriculture,1,46314.0,13.0,2.0,5.5,5.5,926.28,2547.27,2547.27,90,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,5094.54,6020.82,84.61538461538461,13.0
2018,Rabi,Chhattisgarh,Bemetara,Wheat - IR,Cereals,Agriculture,1,30000.0,4.0,1.5,1.25,1.25,450.0,375.0,375.0,80,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,750.0,1200.0,62.5,4.0
2018,Rabi,Assam,Darrang,Paddy - Summer,Cereals,Agriculture,1,60100.0,4.0,1.5,1.25,1.25,901.5,751.25,751.25,80,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,1502.5,2404.0,62.5,4.0
2018,Kharif,Haryana,Panipat,Maize (Makka),Millets,Agriculture,1,41500.0,5.73,2.0,1.865,1.865,830.0,773.975,773.975,90,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,1547.95,2377.95,65.09598603839443,5.7299999999999995
2018,Kharif,Haryana,Panipat,Pearl Millet (Bajra),Millets,Agriculture,1,36000.0,7.06,2.0,2.53,2.53,720.0,910.8,910.8,90,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,1821.6,2541.6,71.671388101983,7.06
2018,Rabi,Assam,Darrang,Sugarcane - Noble Cane,Sugar and Starch Crops,Horticulture & Commercial,1,100500.0,3.0,3.0,0.0,0.0,3015.0,0.0,0.0,90,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,0.0,3015.0,0.0,3.0
2019,Kharif,Haryana,Karnal,Cotton (Kapas),Fiber Crops,Horticulture & Commercial,1,76600.0,4.7,2.0,2.7,0.0,1532.0,2068.2,0.0,90,SBI GENERAL INSURANCE,2068.2,3600.2,57.44680851063829,4.7
2019,Kharif,Haryana,Karnal,Paddy (Dhan),Cereals,Agriculture,1,77800.0,3.715,2.0,0.8575,0.8575,1556.0,667.135,667.135,90,SBI GENERAL INSURANCE,1334.27,2890.2700000000004,46.16419919246298,3.7150000000000003
2018,Rabi,Chhattisgarh,Durg,Linseed (Alsi),Oilseeds,Agriculture,1,11200.0,27.0,1.5,12.75,12.75,168.0,1428.0,1428.0,80,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,2856.0,3024.0,94.44444444444444,27.0
